SEP=,
"","","Rolling Cumulative Returns","Annualized Returns","","",""
"Symbol","Last ($)","Custom(12/31/2024 to  07/22/2025)","3 Year","5 Year","10 Year","Custom"
"SMCI","49.86","56.31","97.44","63.91","23.13","128.81"
"ULTA","502.74","8.31","-9.43","5.59","-0.14","16.30"
"V","351.86","4.06","1.30","-1.92","5.64","7.83"
"RGA","195.66","-15.69","2.65","3.44","-4.38","-28.08"
"VRSK","298.12","0.96","0.50","-3.55","3.33","1.83"
"SSNC","83.47","2.87","-6.83","-6.13","-1.70","5.52"
"UAL","90.78","-13.79","18.92","9.44","-6.80","-24.86"
"XPO","133.07","-5.81","43.69","22.39","12.10","-10.81"
"TRGP","162.53","-16.22","21.32","39.37","-4.91","-28.97"
"ABBV","187.11","-1.98","-8.77","-0.13","-1.31","-3.74"
"NCLH","23.60","-15.55","8.61","-4.02","-20.45","-27.85"
"BFAM","114.19","-4.26","-8.72","-13.85","-4.84","-7.98"
"NWS","33.67","3.37","8.46","7.25","-2.58","6.49"
"NWSA","29.43","-0.41","3.58","4.02","-4.30","-0.79"
"SFM","164.48","22.16","64.50","29.20","9.42","45.58"
"AR","33.18","-12.61","-20.12","51.27","-10.14","-22.85"
"VEEV","285.20","28.37","-6.70","-12.03","14.89","59.55"
"BRX","26.00","-13.89","-11.07","3.13","-10.81","-25.03"
"ARMK","43.83","10.20","7.05","7.13","-5.07","20.13"
"HLT","273.84","3.52","14.57","14.02","5.00","6.78"
"ARES","178.25","-6.59","23.09","20.31","13.19","-12.22"
"SYF","70.66","1.43","12.53","11.25","-4.48","2.74"
"HQY","97.41","-5.76","2.81","-2.43","-0.17","-10.71"
"LBRDA","89.78","13.46","-26.58","-21.35","-6.49","26.87"
"LBRDK","90.37","13.60","-26.63","-21.53","-6.33","27.17"
"GDDY","169.40","-21.45","15.00","5.47","8.61","-37.49"
"WING","320.81","5.61","28.56","4.55","14.66","10.88"
"PFGC","99.63","10.56","8.37","14.80","-","20.86"
"PLNT","113.55","7.57","-4.11","0.54","-","14.80"
"HLI","195.27","5.17","16.97","14.29","-","10.01"
"TWLO","131.00","13.93","-2.31","-26.96","-","27.85"
"USFD","84.12","17.42","20.65","17.14","-","35.25"
"MEDP","477.73","36.52","26.80","20.08","-","78.68"
"HWM","183.34","60.36","57.96","48.57","-","139.70"
"NTNX","74.37","14.28","53.55","13.14","-","28.59"
"PR","13.49","-13.47","14.52","57.23","-","-24.31"
"CVNA","341.56","60.68","121.08","4.01","-","140.59"
"AM","17.18","6.57","4.42","9.58","-","12.81"
"VST","189.09","29.87","85.05","43.48","-","63.01"
"ROKU","89.55","13.18","-16.52","-24.07","-","26.29"
"ZS","285.71","51.09","4.56","3.95","-","115.10"
"EQH","52.44","3.90","8.70","6.82","-","7.52"
"LIN","472.02","5.47","1.46","-0.02","3.60","10.61"
"FOXA","55.91","7.81","-0.06","2.62","-","15.29"
"FOX","51.37","5.03","-0.38","0.70","-","9.75"
"TW","135.22","-3.99","7.19","5.13","-","-7.48"
"UBER","91.79","44.90","41.15","8.95","-","99.27"
"CTVA","73.75","22.20","-5.84","6.80","-","45.66"
"CRWD","471.23","30.45","20.15","21.35","-","64.34"
"NET","190.55","69.68","37.74","24.02","-","165.59"
"APG","34.38","36.09","29.75","16.73","-","77.66"
"SNOW","212.25","30.18","-2.71","-","-","63.73"
"PLTR","149.07","89.83","130.66","-","-","225.28"
"U","34.23","45.06","-18.87","-","-","99.69"
"RKLB","46.88","76.78","109.43","-","-","186.04"
"DASH","239.82","35.69","31.57","-","-","76.69"
"SOFI","20.98","28.96","30.10","-","-","60.90"
"EXE","99.61","-7.22","-13.25","-","-","-13.35"
"CPNG","30.78","32.76","3.61","-","-","69.75"
"RBLX","120.20","100.47","28.25","-","-","258.86"
"COIN","404.44","55.61","61.96","-","-","126.95"
"APP","350.00","0.73","96.33","-","-","1.39"
"FYBR","36.95","-0.79","-3.81","-","-","-1.50"
"DTM","99.45","-7.26","8.03","-","-","-13.43"
"HOOD","101.85","166.07","107.07","-","-","496.40"
"BROS","62.78","12.58","2.72","-","-","25.03"
"CNM","65.03","20.46","25.47","-","-","41.83"
"TOST","47.63","23.40","31.26","-","-","48.31"
"KD","39.01","5.47","38.49","-","-","10.61"
"CRDO","92.93","30.99","85.25","-","-","65.61"
"CRBG","34.96","9.53","-","-","-","18.76"
"DRS","46.14","35.53","-","-","-","76.31"
"NXT","62.10","62.72","-","-","-","146.16"
"TLN","313.58","48.37","-","-","-","108.09"
"TKO","166.49","9.88","-","-","-","19.47"
"VLTO","102.54","-6.60","-","-","-","-12.24"
"RDDT","145.80","-18.07","-","-","-","-32.03"
"GEV","548.99","59.63","-","-","-","137.72"
"SPX","6,309.62","0.00","0.00","0.00","0.00","0.00"
"SPXEWI","7,536.88","-1.14","-7.01","-2.40","-2.86","-2.15"
"NASD","20,892.69","0.92","4.08","0.30","3.43","1.75"
".DJIA","44,502.44","-2.67","-5.04","-3.50","-1.99","-5.03"
"NDX","23,063.58","2.49","6.21","2.23","5.88","4.77"
"RUI","3,454.60","-0.03","-0.13","-0.32","-0.20","-0.05"
"RUT","2,248.76","-6.44","-9.22","-5.43","-5.58","-11.96"
"EAFE","2,648.93","9.84","-5.02","-6.83","-8.02","19.39"
"MSCIEMERG","1,253.46","9.27","-8.61","-10.94","-8.54","18.24"
"MSCIACWIXUS","380.74","9.56","-6.07","-7.76","-8.04","18.82"
"MSCIACWI","929.63","3.22","-2.18","-3.20","-3.50","6.19"
"AGG","98.57","-5.55","-18.35","-17.73","-12.54","-10.34"
"DJCORP","107.08","-6.36","-18.25","-18.75","-12.43","-11.81"
"SPGSCI","548.63","-7.46","-22.92","-4.20","-8.22","-13.79"
"DX/Y","97.39","-17.50","-19.79","-13.51","-11.41","-31.09"
"DWAFXI","97.16","1.82","-15.23","-14.81","-12.33","3.49"
"DWASTRATEGIC1","109,229.54","-4.11","-16.10","-15.96","-11.56","-7.70"
"DWASTRATEGIC4","163,360.40","-2.62","-12.49","-11.49","-8.51","-4.93"
"DWASTRATEGIC7","220,825.06","-0.97","-8.73","-7.08","-5.92","-1.83"
"DWASTRATEGIC2","132,789.58","-3.39","-14.19","-13.94","-10.11","-6.37"
"DWASTRATEGIC5","183,076.80","-2.13","-11.17","-9.91","-7.58","-4.01"
"DWASTRATEGIC8","232,001.94","-0.63","-8.16","-6.28","-5.50","-1.19"
"DWASTRATEGIC3","145,794.17","-3.13","-13.41","-13.16","-9.49","-5.88"
"DWASTRATEGIC6","198,303.83","-1.56","-9.89","-8.54","-6.84","-2.94"
"DWASTRATEGIC9","234,900.43","0.31","-7.50","-5.55","-5.22","0.59"
"TR.SPXX","13,952.35","0.78","1.78","1.73","2.00","1.49"
"XCMP","25,618.59","1.31","5.03","1.17","4.51","2.50"
".DINDR","112,477.78","-1.68","-2.81","-1.30","0.46","-3.17"
"EFA.TR","118.33","12.90","-1.55","-3.96","-5.25","25.70"
"EEM.TR","60.31","12.06","-6.22","-9.09","-6.58","23.96"
"ACWX.TR","79.45","12.19","-2.89","-5.13","-5.45","24.22"
"ACWI.TR","156.55","4.52","-0.14","-1.38","-1.41","8.73"
"AGG.TR","126.01","-3.56","-14.97","-15.03","-9.88","-6.67"
".DACBT","451.35","-3.76","-13.79","-14.82","-8.64","-7.06"
"DWASTRATEGIC1.TR","186,500.75","-3.24","-13.11","-13.23","-8.86","-6.09"
"DWASTRATEGIC4.TR","268,734.93","-2.87","-9.99","-9.02","-5.88","-5.40"
"DWASTRATEGIC7.TR","333,298.95","-0.90","-6.52","-4.91","-3.60","-1.70"
"DWASTRATEGIC2.TR","224,810.67","-3.39","-11.50","-11.36","-7.42","-6.37"
"DWASTRATEGIC5.TR","292,711.89","-2.53","-8.83","-7.57","-5.07","-4.76"
"DWASTRATEGIC8.TR","342,273.24","-0.65","-6.07","-4.21","-3.28","-1.24"
"DWASTRATEGIC3.TR","249,951.87","-4.27","-11.03","-10.68","-6.76","-7.98"
"DWASTRATEGIC6.TR","310,801.21","-2.43","-7.78","-6.36","-4.42","-4.59"
"DWASTRATEGIC9.TR","342,931.35","0.60","-5.35","-3.44","-2.99","1.14"
